date,yield,close,close_1
2016/6/6,3.0041,199.2203,97.08351415
2016/6/7,3.0071,199.4724,97.08068667
2016/6/8,3.0077,199.2312,97.08012119
2016/6/13,2.9979,199.332,97.08935813
2016/6/14,2.9654,199.86,97.12000342
2016/6/15,2.9604,199.8607,97.1247198
2016/6/16,2.9455,199.9921,97.13877731
2016/6/17,2.9379,200.1367,97.14594916
2016/6/20,2.9481,200.2243,97.13632403
2016/6/21,2.9405,200.2253,97.14349551
2016/6/22,2.9307,200.2872,97.15274452
2016/6/23,2.9307,200.46,97.15274452
2016/6/24,2.8808,200.7476,97.19986625
2016/6/27,2.831,201.7753,97.24693915
2016/6/28,2.861,201.3092,97.21857653
2016/6/29,2.8586,201.4706,97.22084493
2016/6/30,2.8411,201.5891,97.23738855
2016/7/1,2.8038,201.9819,97.27266891
2016/7/4,2.8314,202.0545,97.24656088
2016/7/5,2.8514,201.7391,97.22765077
2016/7/6,2.8365,201.8815,97.2417381
2016/7/7,2.8066,202.3926,97.27001963
2016/7/8,2.8016,202.2704,97.27475059
2016/7/11,2.8268,202.3003,97.25091124
2016/7/12,2.8368,202.2503,97.24145442
2016/7/13,2.8494,202.1116,97.22954145
2016/7/14,2.8395,202.2152,97.23890139
2016/7/15,2.8271,202.3471,97.25062751
2016/7/18,2.8271,202.3783,97.25062751
2016/7/19,2.8197,202.4511,97.2576267
2016/7/20,2.7996,202.8836,97.2766431
2016/7/21,2.7806,202.9905,97.29462564
2016/7/22,2.7907,202.8605,97.28506567
2016/7/25,2.8068,202.6788,97.2698304
2016/7/26,2.7913,203.1021,97.28449781
2016/7/27,2.7967,202.7978,97.27938737
2016/7/28,2.7867,202.8632,97.28885157
2016/7/29,2.7768,203.3081,97.29822295
2016/8/1,2.783,203.3328,97.29235379
2016/8/2,2.7792,203.3732,97.29595093
2016/8/3,2.7718,203.2203,97.30295665
2016/8/4,2.7694,203.4393,97.30522899
2016/8/5,2.7534,203.5804,97.32038064
2016/8/8,2.7472,203.7821,97.32625317
2016/8/9,2.7125,204.1562,97.3591335
2016/8/10,2.695,204.2164,97.37572423
2016/8/11,2.6875,204.5123,97.38283628
2016/8/12,2.6701,204.6281,97.39934022
2016/8/15,2.6401,204.6626,97.42780843
2016/8/16,2.6651,204.752,97.40408376
2016/8/17,2.6901,204.5184,97.38037065
2016/8/18,2.6801,204.6577,97.38985451
2016/8/19,2.7001,204.4264,97.37088864
2016/8/22,2.6801,204.5499,97.38985451
2016/8/23,2.7201,204.2297,97.35193015
2016/8/24,2.7301,204.0305,97.34245367
2016/8/25,2.7201,203.9348,97.35193015
2016/8/26,2.6927,203.8645,97.37790515
2016/8/29,2.7064,203.6273,97.36491592
2016/8/30,2.7527,203.6644,97.32104363
2016/8/31,2.7425,202.8633,97.3307054
2016/9/1,2.7452,203.6268,97.32814769
2016/9/2,2.7452,203.6233,97.32814769
2016/9/5,2.7503,203.1459,97.32331682
2016/9/6,2.7628,203.0857,97.31147847
2016/9/7,2.7853,203.0632,97.29017671
2016/9/8,2.7753,203.5176,97.29964301
2016/9/9,2.7678,203.6143,97.30674394
2016/9/12,2.7916,203.3081,97.28421389
2016/9/13,2.7654,203.549,97.30901646
2016/9/14,2.7579,203.7501,97.31611876
2016/9/19,2.7605,203.8873,97.31365651
2016/9/20,2.7431,203.9742,97.33013701
2016/9/21,2.7518,204.1727,97.32189606
2016/9/22,2.7456,204.3145,97.32776878
2016/9/23,2.7318,203.9208,97.34084285
2016/9/26,2.7157,204.4142,97.35610038
2016/9/27,2.7144,204.6009,97.35733256
2016/9/28,2.7244,204.2372,97.34785504
2016/9/29,2.7282,204.516,97.34425406
2016/9/30,2.7258,204.4811,97.34652833
2016/10/10,2.6735,205.0316,97.39611487
2016/10/11,2.6835,205.2018,97.38662979
2016/10/12,2.7098,204.9748,97.36169285
2016/10/13,2.701,205.0438,97.37003535
2016/10/14,2.6952,205.0789,97.37553459
2016/10/17,2.6904,205.063,97.38008616
2016/10/18,2.6965,205.297,97.37430195
2016/10/19,2.6664,205.8955,97.4028504
2016/10/20,2.6518,205.6553,97.41670385
2016/10/21,2.6451,206.1881,97.42306257
2016/10/24,2.6595,206.4373,97.40939708
2016/10/25,2.6859,206.1714,97.38435365
2016/10/26,2.72,205.8231,97.35202492
2016/10/27,2.7068,205.7833,97.36453672
2016/10/28,2.7027,205.9234,97.36842361
2016/10/31,2.7425,205.6594,97.3307054
2016/11/1,2.7375,205.6106,97.33544227
2016/11/2,2.7372,205.4182,97.33572649
2016/11/3,2.7301,205.8448,97.34245367
2016/11/4,2.7339,205.6921,97.3388531
2016/11/7,2.7475,205.6116,97.325969
2016/11/8,2.7634,205.4725,97.3109103
2016/11/9,2.7651,205.3818,97.30930053
2016/11/10,2.7926,205.043,97.28326747
2016/11/11,2.815,204.5834,97.26207265
2016/11/14,2.8577,204.4751,97.2216956
2016/11/15,2.8501,203.9305,97.2288797
2016/11/16,2.8652,203.6172,97.21460708
2016/11/17,2.9055,203.6291,97.17653575
2016/11/18,2.8901,203.6373,97.19108058
2016/11/21,2.8851,203.6463,97.19580386
2016/11/22,2.8689,203.9141,97.21111045
2016/11/23,2.8451,204.2778,97.23360666
2016/11/24,2.8502,204.2284,97.22878517
2016/11/25,2.865,203.8411,97.21479609
2016/11/28,2.8502,204.1103,97.22878517
2016/11/29,2.8906,203.4841,97.19060828
2016/11/30,2.9502,202.8525,97.13434262
2016/12/1,2.9893,202.3291,97.09746546
2016/12/2,2.9895,202.2854,97.09727691
2016/12/5,3.0302,201.8277,97.05892059
2016/12/6,3.1151,200.5424,96.97900695
2016/12/7,3.0877,200.9702,97.00478331
2016/12/8,3.0753,201.1987,97.01645302
2016/12/9,3.0853,201.1227,97.00704174
2016/12/12,3.1458,200.2834,96.95014242
2016/12/13,3.1863,199.7329,96.91209007
2016/12/14,3.2186,199.5163,96.88176356
2016/12/15,3.3315,197.6579,96.77591054
2016/12/16,3.2803,198.3201,96.82388607
2016/12/19,3.3316,197.6937,96.77581688
2016/12/20,3.3739,197.3929,96.73621678
2016/12/21,3.2815,198.437,96.82276109
2016/12/22,3.1908,199.7216,96.90786388
2016/12/23,3.1769,200.088,96.92091931
2016/12/26,3.1551,200.7847,96.94140183
2016/12/27,3.1628,200.4095,96.93416619
2016/12/28,3.1223,200.9239,96.97223588
2016/12/29,3.0471,202.0162,97.04300267
2016/12/30,3.0115,202.5109,97.07654
2017/1/3,3.1054,201.4579,96.98813059
2017/1/4,3.1823,200.6222,96.915847
2017/1/5,3.2086,199.8832,96.89115054
2017/1/6,3.1953,200.0605,96.90363805
2017/1/9,3.1692,200.5603,96.92815298
